1,,"",Pages:Front:Page,default,
2,,administration,Dashboard:Dashboard,default,
3,,administration/article-creation,Pages:Admin:Page,new,
4,,login,Users:Auth,login,
5,,administration/article-editing,Pages:Admin:Page,edit,
6,,administration/login,Users:Auth,login,
7,,administration/logout,Users:Auth,logout,
8,,administration/article-removal,Pages:Admin:Page,remove,
9,,administration/options,Options:Options,default,
10,,administration/tags,Tags:Tag,default,
11,,administration/images,Images:Image,default,
12,,administration/articles-overview,Pages:Admin:Page,overview,
13,,search,Pages:Front:Search,tag,